,time,wait,com
2018-10-01 09:43:00,1538358180000,1051,1051
2018-10-01 09:44:00,1538358240000,1469,1469
2018-10-01 09:45:00,1538358300000,4120,4120
2018-10-01 09:46:00,1538358360000,844,1434
2018-10-01 09:47:00,1538358420000,539,2474
2018-10-01 09:48:00,1538358480000,346,1393
2018-10-01 09:49:00,1538358540000,1381,1381
2018-10-01 09:50:00,1538358600000,692,1600
2018-10-01 09:51:00,1538358660000,960,1728
2018-10-01 09:52:00,1538358720000,3530,3530
2018-10-01 09:53:00,1538358780000,3052,3052
2018-10-01 09:54:00,1538358840000,4129,2015
2018-10-01 09:55:00,1538358900000,2947,2947
2018-10-01 09:56:00,1538358960000,2759,2174
2018-10-01 09:57:00,1538359020000,3027,3027
2018-10-01 09:58:00,1538359080000,4072,1917
2018-10-01 09:59:00,1538359140000,4134,4134
2018-10-01 10:00:00,1538359200000,3552,3552
2018-10-01 10:01:00,1538359260000,2253,2253
2018-10-01 10:02:00,1538359320000,3044,3044
2018-10-01 10:03:00,1538359380000,2397,1566
2018-10-01 10:04:00,1538359440000,932,6933
